dist_code,year,state_code,state_name,dist_name,rice_harvest_price_(rs_per_quintal),paddy_harvest_price_(rs_per_quintal),wheat_harvest_price_(rs_per_quintal),sorghum_harvest_price_(rs_per_quintal),pearl_millet_harvest_price_(rs_per_quintal),maize_harvest_price_(rs_per_quintal),finger_millet_harvest_price_(rs_per_quintal),barley_harvest_price_(rs_per_quintal),chickpea_harvest_price_(rs_per_quintal),pigeonpea_harvest_price_(rs_per_quintal),groundnut_harvest_price_(rs_per_quintal),seasmum_harvest_price_(rs_per_quintal),rape_and_mustard_harvest_price_(rs_per_quintal),castor_harvest_price_(rs_per_quintal),linseed_harvest_price_(rs_per_quintal),sugarcane_gur_harvest_price_(rs_per_quintal),cotton_kapas_harvest_price_(rs_per_quintal)
215,1996,12,Uttar Pradesh,Banda,466.6462559382423,379.0,511.0,384.0,431.0,349.0165423143351,301.9138116591928,468.0,1036.0,1225.0,996.0475178191822,1590.0,1043.0,884.1106108202443,1215.0,549.9763331481738,976.5433229009282
215,1997,12,Uttar Pradesh,Banda,466.6462559382423,395.0,462.0,328.0,383.0,349.0165423143351,301.9138116591928,374.0,1044.0,1539.0,996.0475178191822,1578.0,997.7995313465101,884.1106108202443,1355.0,82.0,976.5433229009282
215,1998,12,Uttar Pradesh,Banda,466.6462559382423,411.0,549.0,353.0,376.0,349.0165423143351,301.9138116591928,297.0802392626005,1068.0,1660.0,996.0475178191822,1408.5887016443867,1439.0,884.1106108202443,1486.0,549.9763331481738,976.5433229009282
215,1999,12,Uttar Pradesh,Banda,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
215,2000,12,Uttar Pradesh,Banda,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,654.0,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,1221.0,1427.0,1062.0,549.9763331481738,976.5433229009282
215,2001,12,Uttar Pradesh,Banda,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,592.0,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,1043.0,1384.0,921.0,549.9763331481738,976.5433229009282
215,2002,12,Uttar Pradesh,Banda,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
215,2003,12,Uttar Pradesh,Banda,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,664.0,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
215,2004,12,Uttar Pradesh,Banda,466.6462559382423,397.54098555505004,633.0,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,1438.0,1577.0,996.0475178191822,2183.0,997.7995313465101,884.1106108202443,1835.0,549.9763331481738,976.5433229009282
215,2005,12,Uttar Pradesh,Banda,466.6462559382423,397.54098555505004,811.0,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,1597.0,549.9763331481738,976.5433229009282
215,2006,12,Uttar Pradesh,Banda,466.6462559382423,584.0,907.0,573.0,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,2274.0,2386.0,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,2138.0,549.9763331481738,976.5433229009282
215,2007,12,Uttar Pradesh,Banda,466.6462559382423,667.0,969.0,742.0,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,2314.0,2460.0,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,2912.0,549.9763331481738,976.5433229009282
215,2008,12,Uttar Pradesh,Banda,466.6462559382423,705.0,962.0,723.0,293.84184125110653,349.0165423143351,301.9138116591928,1034.0,2014.0,3345.0,996.0475178191822,4308.0,997.7995313465101,884.1106108202443,2632.0,549.9763331481738,976.5433229009282
215,2009,12,Uttar Pradesh,Banda,466.6462559382423,922.0,994.0,870.0,293.84184125110653,349.0165423143351,301.9138116591928,894.0,1965.0,3982.0,996.0475178191822,5231.0,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
215,2010,12,Uttar Pradesh,Banda,466.6462559382423,838.0,1060.0,818.0,293.84184125110653,2584.0,301.9138116591928,297.0802392626005,2260.0,2889.0,996.0475178191822,4293.0,997.7995313465101,1808.0,2837.0,549.9763331481738,2889.0
215,2011,12,Uttar Pradesh,Banda,466.6462559382423,863.0,1053.0,888.0,813.0,2584.0,301.9138116591928,297.0802392626005,3286.0,3334.0,3250.0,4850.0,997.7995313465101,884.1106108202443,3467.0,549.9763331481738,976.5433229009282
215,2012,12,Uttar Pradesh,Banda,466.6462559382423,1141.0,1540.0,1131.0,1248.0,2583.0,301.9138116591928,297.0802392626005,2593.0,3018.0,2981.0,9344.0,2896.0,884.1106108202443,3366.0,549.9763331481738,976.5433229009282
215,2013,12,Uttar Pradesh,Banda,466.6462559382423,1251.0,1315.0,1058.0,1135.0,2425.0,301.9138116591928,1278.0,4208.0,4546.0,4554.0,7735.0,997.7995313465101,884.1106108202443,3329.0,549.9763331481738,976.5433229009282
215,2014,12,Uttar Pradesh,Banda,466.6462559382423,1284.0,403.314013281792,1099.0,1177.0,1255.0,301.9138116591928,1299.0,4348.0,5003.0,5072.0,6849.0,997.7995313465101,884.1106108202443,3446.0,549.9763331481738,976.5433229009282
215,2015,12,Uttar Pradesh,Banda,466.6462559382423,1420.0,1527.0,2450.0,1400.0,349.0165423143351,301.9138116591928,1398.0,6128.0,1003.9673023255814,4500.0,6000.0,997.7995313465101,884.1106108202443,6030.0,549.9763331481738,976.5433229009282
215,2016,12,Uttar Pradesh,Banda,466.6462559382423,1240.0,1510.0,1358.0,1438.0,349.0165423143351,301.9138116591928,1516.0,4271.0,1003.9673023255814,4565.0,5170.0,997.7995313465101,884.1106108202443,3980.0,549.9763331481738,976.5433229009282
216,1966,12,Uttar Pradesh,Varanasi,466.6462559382423,84.1,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,56.6,93.9,113.3,95.4,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,98.7,976.5433229009282
216,1967,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,86.4,69.0,99.2,92.2,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1968,12,Uttar Pradesh,Varanasi,466.6462559382423,57.7,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,68.2,62.7,78.9,78.3,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,146.4,976.5433229009282
216,1969,12,Uttar Pradesh,Varanasi,466.6462559382423,57.0,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,79.7,65.0,97.1,95.5,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1970,12,Uttar Pradesh,Varanasi,466.6462559382423,59.4,52.8,309.3118230223124,293.84184125110653,349.0165423143351,48.1,52.8,83.4,88.5,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1971,12,Uttar Pradesh,Varanasi,466.6462559382423,55.8,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,58.6,101.1,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1972,12,Uttar Pradesh,Varanasi,466.6462559382423,65.7,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,93.6,125.0,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,1973,12,Uttar Pradesh,Varanasi,466.6462559382423,80.8,166.2,309.3118230223124,293.84184125110653,349.0165423143351,92.0,122.8,209.0,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,276.7,549.9763331481738,976.5433229009282
216,1974,12,Uttar Pradesh,Varanasi,466.6462559382423,107.4,167.3,110.4,293.84184125110653,349.0165423143351,72.3,126.0,200.6,231.7,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,221.0,549.9763331481738,976.5433229009282
